Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Baseline (Dummy),0.8639705882352942,0.0,0.0,0.0,0.5
Logistic Regression (SMOTE),0.7389705882352942,0.3333333333333333,0.918918918918919,0.4892086330935252,0.8586543990799309
Random Forest (Optimized),0.8419117647058824,0.4318181818181818,0.5135135135135135,0.4691358024691358,0.8728004600345027
XGBoost (Optimized),0.8602941176470589,0.4888888888888889,0.5945945945945946,0.5365853658536586,0.8930419781483612
Random Forest (Tuned Threshold),0.8382352941176471,0.4318181818181818,0.5135135135135135,0.5510204081632653,0.8728004600345027
