Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.742749054224464,0.43434343434343436,0.7818181818181819,0.5584415584415584,0.8247056552789036
Random Forest (Optimized),0.8133669609079445,0.5406698564593302,0.6848484848484848,0.6042780748663101,0.8456668596795985
XGBoost (Optimized),0.7793190416141236,0.4801587301587302,0.7333333333333333,0.580335731414868,0.845502798687512
Random Forest (Tuned),0.8133669609079445,0.5406698564593302,0.6848484848484848,0.608,0.8456668596795985
